charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
25937,29079,14748,14317,14,85.39,57.14,3867,3359,2,3774,3820,2,1435,1507,1,28287,792,22555,18054,2008,7654,15555,86.43,87.48,11990,10092
25938,79005,41133,37857,15,59.27,40,10802,8385,3,5406,4457,1,1090,1058,1,77858,1147,57279,42972,3374,18531,32857,63.56,67.49,18715,12285
26001,200280,103523,96738,19,68.69,47.37,26635,22065,2,18024,15997,5,4488,4862,1,191602,8678,147898,113031,10043,49899,90389,71.22,73.57,46519,33743
26002,81923,42642,39277,4,60.78,100,11113,9021,2,5212,4548,2,1006,1033,,78213,3710,59043,44009,3998,17977,32873,63.53,66.04,21284,14051
26003,109429,57427,51988,14,54.41,50,12764,10578,2,5891,5429,1,888,857,1,103381,6048,79350,59438,5244,27697,43833,55.69,56.83,28254,19135
26004,40242,21167,19073,2,80,50,5633,4542,,5681,4467,,1917,1866,1,39441,801,31386,25065,2181,11030,21245,83.42,86.46,13081,10357
26005,19336,9870,9460,6,84.67,50,2929,2460,2,2270,2412,1,653,852,,19283,53,14959,11860,1209,5581,9896,84.95,85.25,6964,5528
26006,52299,26767,25524,8,82.22,62.5,7939,6593,3,5788,6094,,1477,1910,2,51968,331,40104,31386,3109,14224,25401,82.83,83.42,18270,14154
26007,51384,26334,25036,14,80.27,57.14,8271,6830,3,4523,5145,2,1052,1449,,49328,2056,38756,29993,2799,11634,23899,80.96,81.62,14940,10572
26008,131755,67948,63791,16,76.85,56.25,19199,15987,3,12934,13525,3,2889,3908,1,128370,3385,99148,77367,6971,37938,61322,76.78,76.72,33624,24172
26009,53123,27334,25768,21,81.72,61.9,7980,6486,4,6199,6415,3,1560,1877,4,52903,220,40439,31890,3193,14668,26134,82.57,83.39,14276,10990
26010,91984,47990,43984,10,73.38,30,13109,10757,1,7770,7971,1,1662,2055,,90490,1494,68126,52776,4271,23450,40841,74.09,74.74,19844,14067
26011,13988,7076,6912, ,87.93,,2088,1746,,1945,1990,,700,849,,13741,247,11004,8739,932,3529,7331,88.6,89.26,5295,4424
26012,29798,15068,14728,2,78.81,50,4332,3285,,3680,3589,1,1578,1862,,27374,2424,23428,18704,1821,7578,16441,81.64,84.42,10546,8870
26013,19631,10309,9318,4,79.96,50,3368,2459,2,2242,1890,,592,663,,18919,712,15146,12062,1052,6057,10636,83.28,86.23,6708,5312
26014,62068,32472,29582,14,80.15,64.29,9811,7074,2,7345,6711,3,2040,2274,1,61051,1017,47553,37478,3415,15111,32720,83.12,85.81,17198,13852
26015,26618,13937,12673,8,81.65,25,3906,3015,,3307,3157,1,1274,1385,1,23993,2625,21285,17059,1734,7596,15054,82.66,83.63,8892,7150
26016,11698,5944,5753,1,87.09,100,1661,1309,,1672,1698,1,762,762,,11278,420,9338,7548,880,3431,6735,89.17,91.17,4044,3641
26017,15194,7978,7214,2,86.64,100,2273,1814,2,1924,1829,,714,782,,14997,197,11790,9409,951,4509,8279,87.52,88.31,5318,4518
26018,33943,17295,16646,2,89.32,100,4871,4220,2,5114,4856,,1449,1787,,33889,54,26496,21229,2252,8921,18392,90.89,92.42,13496,11339
26019,17713,8773,8940, ,87.99,,2569,2179,,2493,2742,,870,1086,,17453,260,14047,11176,1245,3741,9774,88.72,89.47,7534,6638
26020,30108,15361,14746,1,86.1,,4057,3445,,4244,4142,,1563,1771,,29919,189,23528,18745,2145,5367,16477,87.33,88.53,11458,9694
26021,56871,29039,27824,8,78.51,,8653,7291,,6284,6429,,1509,1953,,55942,929,43547,34248,3126,15176,29610,79.15,79.79,17928,14187
26022,78955,40799,38152,4,74.76,25,11315,9182,,7569,7687,1,1830,2193,,75166,3789,59340,46240,4318,22854,36999,75.92,76.99,23330,17656
26023,45377,23192,22182,3,86.39,33.33,7111,5944,,5536,5577,1,1625,1992,,44813,564,35118,27567,2753,11837,22747,87.49,88.55,16437,13048
26024,51825,26392,25422,11,77.48,36.36,7635,6417,,5084,5457,4,1267,1617,,50499,1326,39338,30410,2832,10864,24504,77.72,77.97,13840,10477
